x,y
192,21
90,176
149,100
1,22
107,140
75,51
115,77
32,15
39,37
60,134
92,40
2,50
124,23
15,78
89,36
90,123
198,31
166,68
87,17
100,150
101,54
58,78
160,166
69,30
62,79
142,86
123,71
89,95
167,143
9,65
2,45
98,34
127,108
39,164
53,153
96,61
16,16
71,15
25,92
36,106
14,154
17,152
71,140
186,60
41,0
23,149
49,5
53,168
13,127
40,116
50,90
35,0
149,156
164,98
60,137
96,194
18,46
58,10
90,139
49,7
86,21
57,161
43,185
32,66
121,43
160,8
68,34
106,112
56,168
71,159
142,57
85,82
105,131
167,156
71,196
70,4
112,102
41,176
140,97
103,133
78,62
107,94
179,153
9,133
6,31
93,1
10,135
91,8
165,136
158,85
96,41
17,74
77,16
50,116
47,16
194,133
26,95
107,151
47,8
141,161
47,137
167,54
64,79
163,159
161,8
38,161
148,62
67,27
168,14
144,48
179,103
150,31
114,17
164,131
43,67
160,139
146,27
100,147
53,88
35,1
0,145
194,169
124,142
165,149
18,126
41,131
46,54
68,132
56,153
24,92
176,101
40,124
179,195
52,61
6,164
22,94
48,78
87,76
86,109
9,168
185,195
43,84
195,120
46,41
87,49
103,186
45,180
73,181
13,47
143,88
72,60
155,159
92,74
54,136
13,149
98,39
69,120
4,187
186,18
22,161
2,149
81,175
178,186
146,115
74,22
55,153
74,81
157,69
54,108
117,155
79,164
51,47
103,43
103,78
3,91
159,28
195,20
14,158
137,63
25,60
169,126
162,31
127,170
171,38
65,142
142,181
45,150
14,123
15,149
99,16
41,155
48,138
159,133
97,58
106,157
2,140
41,96
163,97
15,126
144,98
28,34
108,87
3,60
81,195
113,7
150,139
38,95
109,79
89,190
170,172
83,193
63,92
150,58
67,63
173,120
0,6
140,181
185,160
121,139
141,121
10,94
181,58
80,22
193,143
146,147
52,0
151,38
138,7
187,149
29,135
10,182
90,3
101,165
34,153
5,26
95,137
83,110
181,161
51,60
109,40
127,114
68,62
36,164
134,154
143,33
154,14
150,198
41,132
137,7
104,88
184,85
181,185
84,54
121,63
91,177
95,123
35,66
59,192
162,16
43,28
2,105
174,54
96,110
39,36
77,49
6,38
0,161
131,24
77,108
100,181
163,18
177,192
60,44
152,17
179,105
56,75
182,166
178,127
183,28
37,197
20,28
86,53
195,138
26,113
108,142
76,21
87,167
107,10
174,115
118,58
89,129
65,117
139,117
58,2
57,156
6,156
171,123
194,193
195,141
39,115
173,85
155,126
184,41
144,138
1,1
173,36
92,145
141,52
143,191
1,172
15,34
189,69
88,183
16,137
51,15
141,79
100,153
14,58
56,160
187,142
187,58
17,196
76,121
145,118
150,149
35,171
4,21
118,34
198,192
179,4
113,40
193,159
106,13
146,128
88,20
59,138
50,60
67,60
56,190
184,31
127,58
4,119
129,187
63,93
106,8
85,57
143,135
113,26
6,192
181,82
61,159
85,152
143,138
16,175
146,8
180,158
169,107
93,155
8,63
99,176
133,88
195,100
15,43
143,72
127,33
8,132
168,105
106,188
133,102
59,149
1,198
175,129
117,159
31,160
13,86
56,26
168,7
181,171
114,181
106,78
99,32
96,195
188,185
44,152
192,16
9,124
41,133
98,61
123,94
107,53
88,19
15,85
106,75
197,132
140,196
118,15
94,128
75,100
28,21
133,181
123,127
96,50
145,122
126,115
8,160
61,183
34,74
139,98
52,163
84,121
35,134
50,154
126,168
192,56
116,164
110,35
4,93
109,45
157,48
95,90
149,19
174,174
64,65
32,196
2,182
39,32
104,0
106,32
93,60
23,114
182,193
26,73
4,197
103,69
111,103
138,120
18,84
88,121
153,97
85,9
150,89
149,134
143,165
172,17
70,130
10,16
114,54
138,62
165,1
80,55
60,95
178,160
180,172
106,95
178,95
190,63
28,137
139,190
185,96
58,88
28,26
43,99
81,8
42,166
190,100
161,47
138,6
147,4
24,65
79,147
3,78
81,158
10,194
74,167
22,78
153,175
146,119
32,66
39,92
120,51
181,170
48,8
89,43
70,10
126,84
23,164
56,95
2,10
141,116
81,65
198,137
24,35
16,63
36,168
147,191
38,31
116,160
42,196
163,154
67,132
41,69
194,143
90,117
177,100
153,18
127,9
190,138
148,115
40,178
156,42
185,180
36,38
79,33
125,85
2,41
163,99
123,187
127,112
123,78
38,182
115,83
121,176
120,141
119,129
100,34
154,62
76,165
190,43
37,134
165,58
122,54
94,126
60,171
56,166
64,197
103,195
180,161
197,42
131,129
54,161
52,167
9,104
182,108
55,13
38,123
136,46
10,109
22,24
158,18
199,132
19,142
54,47
178,143
161,126
169,51
195,115
23,103
171,74
53,92
111,42
97,6
145,174
21,161
73,124
69,127
28,77
131,79
93,199
188,185
171,86
41,12
180,147
184,193
0,57
52,65
180,171
138,76
21,125
32,62
74,72
55,150
91,22
171,159
2,168
152,143
4,61
134,38
7,114
156,107
138,176
70,18
109,135
18,55
34,96
42,60
39,51
3,104
25,153
182,143
95,61
132,113
59,56
122,23
195,75
55,68
23,165
81,185
24,148
35,194
98,41
151,121
198,68
92,84
26,69
32,167
77,52
181,150
196,57
74,187
77,3
10,52
42,16
64,125
56,161
170,128
27,55
70,81
66,45
134,51
141,120
10,119
30,104
52,184
45,166
127,28
108,8
158,108
190,141
55,179
99,64
138,133
75,6
27,188
103,93
97,95
196,134
104,29
25,70
89,181
148,137
48,114
116,148
81,14
68,17
104,51
20,87
114,47
98,186
104,3
21,142
57,154
14,104
105,196
124,117
164,73
148,107
26,36
71,54
151,46
4,65
134,110
90,80
187,137
36,55
27,124
52,83
11,172
132,63
145,20
139,174
136,78
72,41
5,85
4,93
66,83
120,167
113,44
41,48
102,53
87,56
99,91
77,186
139,170
105,59
82,124
87,120
60,31
123,91
78,133
40,126
70,40
123,26
47,115
135,186
44,198
12,63
109,18
147,159
110,98
169,119
133,191
185,79
135,199
2,56
34,14
16,52
176,153
138,130
81,0
118,18
168,178
191,112
141,71
24,165
165,7
22,169
6,158
162,9
40,105
152,29
128,9
21,66
108,93
42,194
134,163
182,4
94,96
23,95
127,66
160,152
112,129
136,30
7,112
67,135
116,177
189,185
123,100
34,159
175,102
14,5
191,65
1,69
175,4
115,13
17,92
182,125
175,128
194,5
108,181
113,112
35,42
197,91
59,110
9,188
95,56
170,63
92,185
123,99
188,178
81,170
121,56
38,193
197,142
98,108
61,93
147,83
112,161
170,56
13,113
87,42
107,104
134,169
56,115
101,137
107,0
138,27
54,172
6,69
96,147
65,190
55,80
26,80
167,162
180,158
150,186
177,18
166,136
87,119
46,169
0,30
98,1
155,141
155,38
190,29
134,23
167,82
141,116
17,142
1,144
157,130
63,196
199,148
38,161
57,174
2,124
79,94
128,96
139,94
199,188
120,47
45,122
198,172
22,54
164,82
18,153
190,20
130,74
135,179
38,60
117,78
23,36
29,101
95,131
50,128
70,31
86,115
100,172
170,87
115,127
114,192
0,161
125,198
134,84
127,175
54,14
106,147
183,100
45,63
155,182
75,16
90,86
48,122
151,63
51,43
104,5
96,178
180,22
122,30
107,70
87,53
25,65
57,145
65,123
181,51
60,121
154,91
125,113
105,25
187,49
102,120
148,74
90,179
124,144
150,42
5,121
186,79
185,26
81,162
57,168
196,73
88,63
40,41
180,76
13,89
59,4
131,13
64,141
38,155
168,190
20,131
75,79
55,50
10,92
115,50
52,39
176,92
2,180
96,74
175,133
80,166
73,188
31,67
46,95
179,135
105,124
156,5
9,93
5,88
62,131
83,119
79,165
56,111
53,132
45,103
37,175
86,85
196,88
67,198
58,199
124,79
190,102
66,26
38,20
77,179
144,87
166,128
53,27
8,156
72,104
72,144
198,120
157,191
173,136
43,2
154,82
124,162
147,192
87,17
101,99
69,26
166,38
0,52
47,149
151,26
186,97
122,16
39,91
72,35
82,122
134,94
183,9
62,147
62,97
39,78
199,139
130,32
79,178
7,13
141,76
153,181
49,43
12,128
83,117
179,138
51,70
55,42
114,85
58,63
75,158
116,20
25,67
1,131
15,89
119,96
32,53
116,145
175,128
57,73
174,49
108,5
180,178
31,138
4,68
29,81
24,134
120,139
93,175
75,87
160,144
86,114
190,5
145,117
176,9
149,25
48,146
62,118
17,92
68,11
65,166
49,41
136,109
117,145
89,177
138,26
0,44
42,116
91,36
158,146
46,184
61,2
153,36
5,110
30,111
27,195
101,107
62,109
60,1
94,30
54,102
189,97
112,155
165,187
28,162
76,72
146,99
176,99
186,44
166,19
21,199
177,111
31,71
27,39
0,187
68,74
38,23
93,64
83,60
29,157
18,8
154,18
53,196
16,109
133,55
166,60
125,174
84,30
78,125
179,137
170,17
172,144
113,182
165,7
149,158
190,106
181,136
168,109
128,135
175,84
32,23
165,146
126,96
27,144
95,96
136,49
78,106
151,121
17,191
188,147
112,21
90,89
163,94
151,138
21,102
48,119
174,186
187,47
37,64
171,70
129,189
106,138
52,38
12,85
89,33
171,62
156,58
44,70
0,88
133,73
135,10
6,91
87,57
170,96
33,69
38,113
81,4
163,196
150,24
168,83
143,155
48,129
45,74
91,129
65,176
4,49
27,99
122,33
2,47
65,39
93,77
182,85
95,19
86,84
137,113
14,46
75,106
85,163
48,154
34,16
144,90
93,4
167,61
147,190
66,77
5,143
94,79
105,117
37,41
145,21
80,27
188,42
28,76
194,181
67,190
194,137
145,97
102,87
24,137
119,15
48,15
1,164
153,0
69,183
169,117
56,8
70,139
23,124
128,24
98,42
187,38
125,41
137,27
40,98
29,83
151,193
136,186
175,117
122,160
100,141
36,158
11,142
86,161
185,92
54,190
171,100
39,136
131,182
162,189
23,69
189,190
99,173
43,103
34,26
43,33
160,105
137,178
188,129
42,41
65,164
15,150
24,64
111,184
181,52
163,194
155,123
105,183
51,21
136,138
122,31
130,43
35,162
101,198
174,117
32,107
150,49
184,76
0,8
167,186
61,132
46,196
144,167
78,17
133,121
61,31
51,130
116,155
164,195
81,114
167,32
66,168
107,26
130,187
141,2
140,36
91,149
47,2
101,125
41,196
8,184
109,183
115,153
183,86
192,159
14,198
197,174
30,130
35,51
103,92
96,167
148,109
174,113
126,150
18,116
161,140
154,101
173,100
180,141
140,35
50,137
190,125
114,87
105,127
158,148
10,177
35,49
71,93
172,70
18,11
147,65
5,138
113,54
129,151
150,89
22,24
156,69
80,62
174,75
174,142
42,2
78,68
54,37
28,6
191,79
163,107
180,118
38,75
41,173
157,151
3,154
37,146
135,148
33,67
165,13
176,70
74,104
0,113
78,33
39,148
84,82
83,136
122,139
175,21
168,177
36,37
98,8
16,91
98,81
159,57
32,162
146,79
82,81
169,4
157,54
46,85
35,143
45,125
114,99
111,185
150,170
88,66
43,29
165,121
100,198
82,163
46,40
15,135
13,38
162,123
50,38
182,23
129,190
161,20
196,112
23,5
168,95
158,180
153,84
99,43
128,173
71,2
151,28
21,188
41,6
5,9
27,188
2,56
166,162
165,85
78,160
122,5
189,42
92,186
61,126
142,51
26,134
172,37
29,29
158,167
173,140
86,170
20,119
180,16
132,49
185,70
24,49
40,192
155,147
114,95
33,5
192,7
173,2
183,84
159,152
161,13
90,17
41,89
112,66
105,19
191,3
140,82
109,170
50,20
105,34
20,97
118,73
82,175
35,72
77,28
103,152
123,176
59,184
169,71
157,161
87,20
179,28
162,13
142,188
158,28
116,71
34,28
0,2
72,187
60,16
185,144
136,9
119,37
90,144
77,58
131,157
39,168
124,78
171,4
104,189
124,109
185,37
72,3
143,142
132,160
105,4
107,55
194,23
65,68
18,110
30,64
95,5
18,83
7,50
158,85
31,175
116,3
114,85
106,149
134,62
161,18
7,3
39,85
33,123
193,26
173,93
132,72
23,135
137,83
187,90
32,166
52,71
0,87
67,29
63,6
68,100
60,69
146,22
163,85
66,82
173,16
14,49
65,112
124,31
143,94
188,68
54,126
19,139
159,58
69,3
91,67
28,196
39,29
28,101
144,161
118,85
20,26
131,21
26,94
29,0
84,119
95,161
52,140
92,168
111,99
124,114
67,198
3,84
193,84
63,141
11,24
117,121
39,108
2,190
135,27
150,193
168,197
110,140
60,131
21,17
27,137
183,178
86,88
103,103
96,78
32,126
124,182
186,60
45,95
184,18
58,64
196,177
27,47
175,80
101,150
165,25
15,121
151,174
155,107
124,29
84,156
94,83
128,85
107,138
122,75
120,198
27,158
71,73
74,134
86,161
7,32
84,35
58,55
95,2
0,191
185,156
41,62
10,40
59,87
42,197
155,133
159,26
135,24
55,11
48,44
165,86
188,35
42,12
20,126
170,131
106,28
60,97
67,176
11,169
173,1
153,41
180,172
31,30
21,116
191,74
89,64
183,199
153,21
24,129
190,97
85,40
20,85
195,57
78,120
79,150
126,50
127,129
30,8
161,7
79,81
53,64
39,73
10,113
42,43
79,139
199,71
58,4
154,25
11,67
105,184
59,8
172,78
4,105
28,151
127,134
73,185
3,14
95,181
112,15
158,58
68,116
161,158
85,127
199,50
22,70
149,180
155,66
52,174
163,136
39,117
81,183
132,76
106,172
37,104
12,17
132,113
110,97
179,159
53,80
47,12
120,127
1,13
115,123
29,109
165,62
81,14
146,93
13,80
157,32
138,28
182,8
76,129
136,15
64,46
131,49
183,5
33,132
34,109
117,147
159,175
8,43
164,9
38,52
56,15
131,24
105,162
199,166
141,70
85,172
3,148
97,1
32,142
99,73
3,116
140,105
100,186
73,74
181,163
151,117
173,166
84,133
5,148
23,72
97,174
87,175
56,158
113,163
96,40
120,96
152,89
98,29
165,36
21,23
182,42
28,141
82,181
113,16
55,93
137,34
142,180
61,118
19,176
8,12
163,159
156,102
8,197
132,122
39,57
143,155
124,125
31,176
129,32
35,121
116,6
70,155
117,120
4,10
108,194
190,50
127,6
153,124
183,50
125,80
155,82
158,157
182,196
78,4
97,56
73,75
183,149
40,10
33,61
93,72
186,195
193,111
185,58
23,152
152,90
83,5
106,0
145,72
18,88
73,119
85,13
51,58
29,184
73,156
154,159
195,62
106,44
138,48
170,136
180,184
141,74
149,82
114,35
162,118
6,64
63,146
127,127
76,100
6,120
184,161
86,136
43,40
78,63
85,86
72,104
65,128
129,34
110,121
197,123
94,189
86,84
175,104
74,60
139,68
169,40
168,117
118,90
36,6
179,70
131,75
49,183
95,199
48,151
145,81
147,19
8,62
99,45
92,8
134,127
43,150
25,147
136,46
4,33
131,145
22,42
12,52
94,27
117,15
118,115
3,88
96,195
183,189
128,30
104,44
37,94
126,187
189,106
107,199
28,107
57,41
127,49
65,146
66,77
108,142
104,188
180,171
79,59
133,101
155,112
29,155
13,180
35,153
171,8
168,151
195,140
12,126
186,150
176,104
48,55
81,130
75,33
14,16
103,123
189,188
190,26
3,175
69,134
71,114
49,96
63,25
81,196
79,197
192,158
60,129
145,11
159,63
178,167
12,152
182,104
180,194
174,59
15,18
73,40
189,121
75,22
5,76
5,173
45,196
81,179
127,175
117,102
154,158
85,15
142,23
74,130
101,151
85,88
151,47
173,150
24,188
32,19
58,52
144,169
17,102
33,128
135,63
45,158
184,142
147,62
102,103
45,148
19,54
46,42
112,188
55,22
159,67
157,41
42,168
181,113
174,112
190,163
112,183
17,5
29,120
60,41
3,146
21,184
1,68
136,62
104,71
86,84
133,188
151,17
62,103
115,137
72,174
55,143
101,81
148,22
127,192
149,168
61,11
5,155
154,113
24,165
41,68
135,17
118,111
18,174
48,128
93,139
179,167
40,182
92,43
50,38
187,79
58,106
188,139
114,114
194,46
28,179
114,88
30,173
96,100
173,197
11,113
153,195
163,53
62,73
86,41
2,164
48,147
22,29
150,188
170,54
88,96
53,196
65,24
5,106
21,52
133,141
45,5
107,103
24,140
147,53
66,65
0,4
0,125
154,128
182,138
88,78
106,44
6,142
23,39
156,176
98,124
100,12
107,25
152,46
65,84
155,195
173,99
159,85
178,51
195,5
175,162
79,184
191,97
93,17
10,77
28,12
163,86
155,55
120,4
53,106
164,97
32,90
33,112
161,130
69,106
160,95
65,169
69,41
54,62
66,133
150,155
171,122
142,180
121,181
47,31
9,183
140,159
133,174
129,171
44,139
55,152
133,85
53,58
96,42
190,144
107,71
19,0
83,42
37,48
188,6
33,32
27,79
37,179
58,72
100,196
179,119
190,74
149,87
31,32
12,104
153,116
40,45
58,147
181,158
37,183
165,145
9,105
196,63
95,149
162,141
164,156
150,103
54,70
37,23
111,16
131,172
35,150
25,13
163,55
82,182
72,160
17,144
163,101
162,191
63,73
23,31
134,84
102,155
170,22
96,130
81,93
36,147
2,109
192,189
60,0
56,151
131,93
24,5
119,44
87,54
119,141
140,59
73,119
97,196
75,149
24,16
143,73
80,124
190,29
198,126
23,130
152,195
38,22
154,170
120,46
98,135
1,94
128,135
28,68
68,107
89,195
153,14
181,181
111,7
180,76
196,120
73,6
78,27
117,136
114,39
165,178
184,93
177,34
6,169
137,106
169,163
121,193
21,79
38,128
19,70
134,97
194,107
95,40
126,188
54,21
143,179
90,69
86,121
127,54
15,115
52,184
104,21
122,150
56,197
59,106
79,4
193,27
24,9
150,50
74,22
78,128
149,60
83,105
169,173
53,195
34,34
28,32
69,75
162,147
147,0
199,93
154,177
180,54
181,156
147,50
177,166
108,127
156,90
166,159
16,32
6,133
17,109
8,148
74,196
168,173
167,174
119,88
112,96
1,8
186,160
7,6
18,48
196,1
196,35
39,39
76,177
49,47
110,4
25,82
118,199
111,91
162,51
19,168
0,158
130,111
126,57
48,31
198,99
111,113
113,121
127,21
36,139
165,136
105,108
179,183
65,197
43,87
95,143
74,195
176,143
87,119
1,35
128,102
119,65
27,133
137,140
195,127
95,18
167,88
114,87
13,198
121,173
177,139
122,119
121,169
64,95
155,70
139,178
47,124
78,187
3,92
179,84
56,150
81,89
142,167
5,10
175,59
182,103
51,12
76,102
26,120
51,89
149,179
118,131
94,143
159,8
66,3
127,164
17,6
152,118
130,29
157,93
115,69
179,114
64,144
47,38
74,157
188,175
161,58
11,16
65,98
94,97
166,191
93,161
59,90
7,72
175,30
128,40
47,134
85,107
153,155
144,169
95,116
161,81
83,91
38,75
114,197
166,144
119,155
72,91
175,83
93,69
163,39
33,70
130,36
93,71
5,183
156,190
153,30
129,149
118,81
133,54
196,129
184,91
148,189
194,150
184,75
137,49
119,143
50,25
18,25
21,33
151,97
159,173
83,30
156,48
46,36
198,94
97,22
46,172
93,70
141,196
126,11
23,42
70,74
103,67
184,89
8,185
20,123
30,198
141,57
178,71
71,110
1,146
159,86
0,197
23,134
162,174
162,150
33,175
156,158
130,56
83,170
24,58
126,92
21,107
110,148
59,36
175,91
40,183
35,180
158,160
12,117
116,156
197,15
144,165
66,52
188,151
183,32
102,64
184,194
11,1
130,85
5,184
163,187
40,179
36,60
109,75
125,136
90,135
2,179
117,29
90,161
118,25
164,158
115,85
71,59
48,29
53,91
80,57
3,155
102,171
51,197
181,139
136,16
115,92
97,24
194,14
86,54
176,126
76,171
105,76
62,80
166,65
179,190
52,96
4,68
45,112
172,189
67,85
123,191
153,198
123,105
72,151
58,46
119,117
32,20
135,29
147,49
129,6
173,3
36,192
155,103
85,182
144,113
24,43
96,123
129,59
124,28
161,107
37,106
155,33
189,32
167,169
197,22
18,149
62,178
84,172
81,92
121,146
16,44
21,150
20,175
141,137
92,95
52,58
28,189
84,21
11,101
84,130
185,118
99,150
182,61
57,8
46,130
124,82
29,111
141,9
48,158
153,40
197,174
107,188
94,175
197,191
177,33
83,103
41,172
129,173
99,76
163,106
20,171
103,69
153,90
9,88
29,131
115,155
115,127
122,145
173,21
25,80
140,46
116,144
16,64
127,119
169,85
170,163
170,198
30,4
193,31
15,41
5,139
15,26
148,181
27,40
86,16
122,53
11,23
54,129
100,6
95,86
115,22
26,141
71,71
48,175
123,153
7,171
0,189
3,120
110,135
154,118
47,11
70,149
36,130
127,113
45,5
44,137
195,3
85,32
56,38
119,144
167,128
57,54
139,49
147,111
130,57
114,140
52,149
14,45
102,75
36,114
184,40
164,196
13,189
13,160
184,125
61,194
8,197
26,125
21,3
48,49
140,135
173,139
28,73
133,9
24,18
93,8
137,89
121,142
47,76
197,64
84,69
160,146
32,80
60,22
35,116
110,80
158,101
178,28
138,80
82,171
69,65
53,66
180,43
84,108
110,116
67,124
31,89
18,72
48,126
23,37
109,68
197,152
10,4
180,184
2,69
133,131
163,29
76,180
40,199
107,183
179,57
104,90
190,150
182,165
192,64
118,76
47,28
97,92
193,157
87,171
138,178
106,154
108,1
10,179
1,156
27,85
28,3
83,103
191,180
130,12
96,16
125,88
51,88
18,67
28,188
103,156
46,1
79,121
97,176
174,54
168,90
101,122
113,70
92,109
93,78
156,197
136,115
149,164
2,56
74,189
16,124
49,138
192,11
48,111
98,9
138,146
195,163
94,182
35,172
93,42
29,104
46,82
48,182
183,184
128,31
129,158
2,73
65,162
36,11
81,97
11,102
52,133
146,120
65,157
28,19
8,19
133,65
2,121
46,138
123,42
111,181
49,170
57,15
104,5
24,86
145,198
90,134
55,45
144,77
195,143
194,137
143,199
116,115
198,65
72,15
51,34
66,126
56,199
58,70
26,8
136,100
28,65
129,26
41,184
147,81
135,10
85,94
5,144
65,26
148,176
95,9
133,143
144,184
34,159
104,117
189,154
94,108
14,181
134,78
115,118
144,4
182,54
103,51
80,47
146,169
189,137
118,28
159,29
174,4
150,144
41,50
121,32
147,107
135,136
70,4
51,149
16,84
113,188
186,70
161,27
125,86
154,57
68,20
79,141
42,199
73,68
153,37
143,71
21,88
99,187
107,88
157,71
56,197
138,131
85,140
114,194
162,9
128,184
176,165
105,101
151,168
197,110
101,36
